Year,scenario,module,variable,variable_value,stratifier,stratifier_value,metric_type,n_runs,total_sample,min_sample,mean_sample,mean_value,sd_value,ci_lower,ci_upper,se
2023,Baseline,Activity status,Employment status,EmployedOrSelfEmployed,Overall,Overall,share,3,152281,50506,50760.3333333333,0.492914931547711,0.0052104212484885,0.487018784851315,0.498811078244107,0.00300823811040618
2019,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,28511,9503,9503.66666666667,0.0950217799797455,1.04867415097211e-05,0.0950099131145997,0.0950336468448913,6.05452303355951e-06
2021,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72693,23872,24231,0.239663323234133,0.00327227588555985,0.235960394481887,0.243366251986379,0.0018892493633907
2022,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72445,24005,24148.3333333333,0.236771321424628,0.00142459116466285,0.235159244763517,0.238383398085738,0.000822488092403258
2023,Baseline,Activity status,Employment status,Student,Overall,Overall,share,3,72567,24064,24189,0.234885025322063,0.00113094571036695,0.233605239773837,0.236164810870288,0.000652951810319212
2019,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,63121,21038,21040.3333333333,0.210370375151881,3.6580814729146e-05,0.210328980063148,0.210411770240614,2.11199432310483e-05
2020,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,62753,20878,20917.6666666667,0.207278641598864,0.000252686834648554,0.206992699527334,0.207564583670394,0.000145888812005017
2021,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,63364,21064,21121.3333333333,0.208910232497296,0.0010131835760752,0.20776370734894,0.210056757645651,0.000584961810385524
2022,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,63840,21185,21280,0.20864865004567,0.00103874177364896,0.207473203074106,0.209824097017234,0.000599717842634739
2023,Baseline,Activity status,Employment status,Retired,Overall,Overall,share,3,64034,21219,21344.6666666667,0.20726882461645,0.00148403953850426,0.205589475787445,0.208948173445456,0.00085681062704348
2021,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,21989,6857,7329.66666666667,0.0724938606701323,0.00403339144582518,0.0679296485816234,0.0770580727586411,0.0023286796369943
2020,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,29777,9353,9925.66666666667,0.0983527063097972,0.00493896860383717,0.092763737198026,0.103941675421568,0.0028515148529445
2022,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,19987,6146,6662.33333333333,0.065319157943117,0.00429169961551836,0.060462642643648,0.0701756732425861,0.00247781392830054
2023,Baseline,Activity status,Employment status,NotEmployed,Overall,Overall,share,3,20063,6007,6687.66666666667,0.0649312185137759,0.00560137304046765,0.0585926682175947,0.0712697688099571,0.00323395423274551
